article_id	category	timestamp	namespace	redirect	title	related_page
2706213	0	2005-09-19 10:02:51	0	0	Jean-Baptiste Boissière	-1	
2705099	0	2005-09-19 04:23:45	0	0	Mr. Serious	-1	
2706210	0	2005-09-19 10:00:48	0	0	FA Cup Final	-1	
2705096	0	2005-09-19 04:19:53	0	0	The Red Bedroom	-1	
2705097	0	2005-09-19 04:26:38	0	0	Seven Years (album)	-1	
2701934	0	2005-09-18 16:53:57	3	0	ThunderPower	-1	
2701933	0	2005-09-18 16:53:44	0	1	Thabit prime	-1	
2701931	0	2005-09-18 16:53:16	3	0	83.250.217.220	-1	
2701930	0	2005-09-18 16:53:05	0	0	Negoro-gumi	-1	
2707038	0	2005-09-19 14:21:17	0	0	Imaginary Friend (Star Trek: The Next Generation)	-1	
2711833	0	2005-09-20 03:20:49	0	0	Plover Cove	-1	
2701938	0	2005-09-18 16:54:53	0	0	Bagha Jatin	-1	
2705541	0	2005-09-19 06:36:41	1	0	Legends Weekend	-1	
2705547	0	2005-09-19 06:39:15	0	0	Plant Patent Act of 1930	-1	
2705545	0	2005-09-19 06:38:13	0	0	Richard E. Hawes	-1	
2705549	0	2005-09-19 06:39:58	0	0	Mukai Shogen Tadakatsu	-1	
2713611	0	2005-09-20 08:06:15	0	1	Music of Rumania	-1	
2700689	0	2005-09-18 09:49:31	0	0	Guru Gobind Singh Indraprastha University	-1	
2700685	1	2005-09-18 09:47:59	1	0	Josh Sawyer	2639239	
2715611	0	2005-09-20 14:01:03	0	0	Wąbrzeźno	-1	
2715614	0	2005-09-20 14:01:24	0	0	Cyril O'Reilly (actor)	-1	
2713475	0	2005-09-20 07:45:38	0	0	Francisco Javier Castaños, 1st Duke of Bailén	-1	
2713477	0	2005-09-20 07:45:49	0	0	South Point (Wilsons Promontory)	-1	
2713470	0	2005-09-20 07:44:31	0	0	Athanase Seromba	-1	
2702375	0	2005-09-18 18:26:31	0	0	Friedrich L. Bauer	-1	
2706390	0	2005-09-19 10:51:57	1	0	Angela (comics)	-1	
2703261	0	2005-09-18 21:04:27	0	0	National Union for Democracy and Progress (Guinea-Bissau)	-1	
2703260	0	2005-09-18 21:04:24	0	0	United People's Alliance	-1	
2703266	0	2005-09-18 21:05:14	4	0	Articles for deletion/Tan as fuck	-1	
2702013	0	2005-09-18 17:13:10	4	0	Articles for deletion/South China Church	-1	
2708079	0	2005-09-19 18:01:35	0	0	Vogue (Madonna song)	-1	
2708077	0	2005-09-19 18:01:29	3	0	207.166.3.62	-1	
2708072	0	2005-09-19 18:00:27	0	0	Battle of Hegra Fortress	-1	
2709301	0	2005-09-19 20:33:08	0	0	Erenagh	-1	
2706845	0	2005-09-19 13:29:03	0	1	Abu Ageila	-1	
2706841	0	2005-09-19 13:27:19	0	0	Abu-Ageila	-1	
2711112	0	2005-09-20 00:38:13	0	1	Ivan Terentyevich Kleymenov	-1	
2711113	0	2005-09-20 00:38:34	1	0	Doane Stuart School	-1	
2703654	0	2005-09-18 22:18:40	0	1	Oromo People's Democratic Organization	-1	
2703658	0	2005-09-18 22:19:08	0	1	Translational errors	-1	
2703659	0	2005-09-18 22:19:15	1	0	GP2X	-1	
2706218	0	2005-09-19 10:03:27	0	0	Bamford railway station	-1	
2707116	0	2005-09-19 14:42:57	0	0	VACTERL association	-1	
2700727	0	2005-09-18 10:03:00	0	0	1993 in Australia	-1	
2700720	0	2005-09-18 09:59:23	0	0	Mountain Mayhem	-1	
2707034	0	2005-09-19 14:20:10	0	0	ROF Ranskill	-1	
2707035	0	2005-09-19 14:20:48	0	1	QuickTime 6.5.2	-1	
2707036	0	2005-09-19 14:20:53	0	0	Kjellingstraumen Bridge	-1	
2710649	0	2005-09-19 23:17:06	0	0	Lan Fu	-1	
2710643	0	2005-09-19 23:14:35	0	0	Aaron Teitelbaum	-1	
2710640	0	2005-09-19 23:13:17	0	0	Anticyclonic tornado	-1	
2714708	0	2005-09-20 11:09:21	3	0	83.25.241.91	-1	
2709846	0	2005-09-19 21:30:14	4	0	Articles for deletion/Technology whore	-1	
2700879	0	2005-09-18 10:48:50	3	0	Jwissick	-1	
2700309	0	2005-09-18 07:53:24	1	0	Adam Savage	-1	
2700302	0	2005-09-18 07:51:00	0	0	Leyland Band	-1	
2700872	0	2005-09-18 10:46:48	0	0	OVW Southern Tag Team Championship	-1	
2710469	1	2005-09-19 22:42:38	1	1	Snowball (Hurricane Katrina dog)	2644115	
2711926	0	2005-09-20 03:45:33	0	0	The Odyssey (TV miniseries)	-1	
2710390	0	2005-09-19 22:30:27	0	0	Grain (cipher)	-1	
2710392	0	2005-09-19 22:30:45	1	0	A Moment Like This	-1	
2710465	0	2005-09-19 22:42:05	0	1	SHU	-1	
2711920	0	2005-09-20 03:44:33	0	0	Grammnet Productions	-1	
2702657	0	2005-09-18 19:23:26	0	0	Delta Valley and Southern Railway	-1	
2702655	0	2005-09-18 19:22:13	0	0	Ulf Olsson	-1	
2702654	0	2005-09-18 19:22:11	1	0	Cleveland School massacre	-1	
2702650	0	2005-09-18 19:21:30	0	0	Canal 9 (Argentina)	-1	
2702659	0	2005-09-18 19:23:46	2	0	SG	-1	
2706036	0	2005-09-19 09:01:57	3	0	130.245.198.132	-1	
2705856	0	2005-09-19 08:12:59	1	0	Slaves of Las Vegas	-1	
2713281	0	2005-09-20 07:13:22	0	1	Talitha Australis	-1	
2715021	0	2005-09-20 12:00:38	0	0	Adanaspor	-1	
2706536	0	2005-09-19 11:47:22	0	1	Puli Devar	-1	
2703017	0	2005-09-18 20:19:53	0	0	David Sancious	-1	
2703015	0	2005-09-18 20:19:23	0	0	Zimbabwe national rugby union team	-1	
2703010	0	2005-09-18 20:18:53	4	0	Goings-on/September 18, 2005	-1	
2706531	0	2005-09-19 11:45:32	0	1	Mount Zijin	-1	
2703019	0	2005-09-18 20:20:00	0	0	Ardyth Kennelly	-1	
2702225	0	2005-09-18 17:54:57	3	0	Lightbringer	-1	
2702223	0	2005-09-18 17:54:28	0	1	Open mind	-1	
2702229	0	2005-09-18 17:55:52	0	0	Index of software engineering articles	-1	
2714635	0	2005-09-20 10:58:23	4	0	Articles for deletion/The Australian Interest	-1	
2701108	0	2005-09-18 12:01:19	0	0	Firishta	-1	
2713864	0	2005-09-20 08:51:02	0	0	William Kentridge	-1	
2706616	0	2005-09-19 12:14:55	0	0	ASEAN Declaration	-1	
2709664	0	2005-09-19 21:12:40	2	0	MARussellPESE	-1	
2711062	0	2005-09-20 00:27:43	0	0	GRB 050509b	-1	
2707777	0	2005-09-19 17:15:04	0	0	List of places in California (Y)	-1	
2707775	0	2005-09-19 17:14:44	4	0	Articles for deletion/Kidsfreesouls	-1	
2708791	0	2005-09-19 19:33:03	0	0	Dumbarton Burghs (UK Parliament constituency)	-1	
2708794	0	2005-09-19 19:33:15	0	0	Ernest Cassel	-1	
2704970	0	2005-09-19 04:11:40	2	0	Yurik/Formats/Days of the Month	-1	
2704971	0	2005-09-19 04:11:47	2	0	Yurik/Formats/Month of the Year	-1	
2704972	0	2005-09-19 04:12:08	2	0	Yurik/Formats/Years	-1	
2704976	0	2005-09-19 04:12:20	2	0	Yurik/Formats/Decades	-1	
2704977	0	2005-09-19 04:12:31	2	0	Yurik/Formats/Centuries	-1	
2704978	0	2005-09-19 04:12:45	2	0	Yurik/Formats/Millenniums	-1	
